row.names,pclass,survived,name,age,embarked,home.dest,room,ticket,boat,sex,first_class,second_class,third_class
61,0,1,"Chevre, Mr Paul",31.19418104,Cherbourg,"Paris, France",,,7,1,1,0,0
62,0,1,"Chibnall (Bowerman), Mrs Edith Martha",31.19418104,Southampton,"St Leonards-on-Sea, England Ohio",,,6,0,1,0,0
63,0,0,"Chisholm, Mr Roderick Robert",31.19418104,,"Liverpool, England / Belfast",,,,1,1,0,0
64,0,0,"Clark, Mr Walter Miller",27,Cherbourg,"Los Angeles, CA",C-87,,,1,1,0,0
65,0,1,"Clark, Mrs Walter Miller (Virginia McDowell)",26,Cherbourg,"Los Angeles, CA",C-87,,4,0,1,0,0
66,0,0,"Clifford, Mr George Quincy",31.19418104,Southampton,"Stoughton, MA",,,,1,1,0,0
67,0,0,"Colley, Mr Edward Pomeroy",31.19418104,Southampton,"Victoria, BC",,,,1,1,0,0
68,0,1,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",64,Cherbourg,"Lakewood, NJ",,,14,0,1,0,0
69,0,0,"Compton, Mr Alexander Taylor, Jr",37,Cherbourg,"Lakewood, NJ",,,,1,1,0,0
70,0,1,"Compton, Miss Sara Rebecca",39,Cherbourg,"Lakewood, NJ",,,14,0,1,0,0
71,0,1,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",55,Southampton,"New York, NY",C-101,,2,0,1,0,0
72,0,0,"Crafton, Mr John Bertram",31.19418104,Southampton,"Roachdale, IN",,,,1,1,0,0
73,0,0,"Crosby, Captain Edward Gifford",70,Southampton,"Milwaukee, WI",,,-269,1,1,0,0
74,0,1,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",69,Southampton,"Milwaukee, WI",,,5,0,1,0,0
75,0,1,"Crosby, Miss Harriet R.",36,Southampton,"Milwaukee, WI",,,5,0,1,0,0
76,0,0,"Cumings, Mr John Bradley",39,Cherbourg,"New York, NY",C-85,,,1,1,0,0
77,0,1,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",38,Cherbourg,"New York, NY",C-85,,4,0,1,0,0
78,0,1,"Daly, Mr Peter Denis ",31.19418104,Southampton,"Lima, Peru",,,A,1,1,0,0
79,0,1,"Daniel, Mr Robert Williams",27,Southampton,"Philadelphia, PA",,,7,1,1,0,0
80,0,0,"Davidson, Mr Thornton",31,Southampton,"Montreal, PQ",,,,1,1,0,0
81,0,1,"Davidson, Mrs Thornton (Orian Hays)",27,Southampton,"Montreal, PQ",,,3,0,1,0,0
82,0,1,"de Villiers, Madame Berthe",31.19418104,Cherbourg,"Belgium  Montreal, PQ",,,6,0,1,0,0
83,0,1,"Dick, Mr Albert Adrian",31,Cherbourg,"Calgary, AB",,,3,1,1,0,0
84,0,1,"Dick, Mrs Albert Adrian Vera Gillespie",17,Cherbourg,"Calgary, AB",,,3,0,1,0,0
85,0,1,"Dodge, Dr. Washington",31.19418104,Southampton,"San Francisco, CA",,,13,1,1,0,0
86,0,1,"Dodge, Mrs Washington (Ruth Vidaver)",31.19418104,Southampton,"San Francisco, CA",,,05-jul,0,1,0,0
87,0,1,"Dodge, Master Washington",4,Southampton,"San Francisco, CA",,,05-jul,1,1,0,0
88,0,1,"Douglas, Mrs Frederick Charles (Suzette Baxter)",27,Cherbourg,"Montreal, PQ",,,6,0,1,0,0
89,0,0,"Douglas, Mr Walter Donald",50,Cherbourg,"Deephaven, MN / Cedar Rapids, IA",,,-62,1,1,0,0
90,0,1,"Douglas, Mrs Walter Donald (Mahala Dutton)",48,Cherbourg,"Deephaven, MN / Cedar Rapids, IA",,,2,0,1,0,0
91,0,1,"Duff Gordon, Sir Cosmo Edmund",49,Cherbourg,London / Paris,,11755 L39 12s,1,1,1,0,0
92,0,1,"Duff Gordon, Lady (Lucille Wallace Sutherland)",48,Cherbourg,London / Paris,,17485 L56 18s 7d,1,0,1,0,0
93,0,0,"Dulles, Mr William Crothers",39,Cherbourg,"Philadelphia, PA",,,-133,1,1,0,0
94,0,1,"Earnshaw, Mrs Boulton (Olive Potter)",23,Cherbourg,"Mt Airy, Philadelphia, PA",,,7,0,1,0,0
95,0,1,"Eustis, Miss Elizabeth Mussey",53,Cherbourg,"Brookline, MA",,,4,0,1,0,0
96,0,0,"Evans, Miss Edith Corse",36,Cherbourg,"New York, NY",,,,0,1,0,0
97,0,1,"Flegenheim, Mrs Alfred (Antoinette)",31.19418104,Cherbourg,"New York, NY",,,7,0,1,0,0
98,0,1,"Flynn, Mr John Irving",31.19418104,Southampton,"Brooklyn, NY",,,05-jul,1,1,0,0
99,0,0,"Foreman, Mr Benjamin Laventall",30,Cherbourg,"New York, NY",,,,1,1,0,0
100,0,1,"Fortune, Miss Alice Elizabeth",24,Southampton,"Winnipeg, MB",,,10,0,1,0,0
101,0,0,"Fortune, Mr Charles Alexander",19,Southampton,"Winnipeg, MB",,,,1,1,0,0
102,0,1,"Fortune, Miss Ethel Flora",28,Southampton,"Winnipeg, MB",,,10,0,1,0,0
103,0,1,"Fortune, Miss Mabel",23,Southampton,"Winnipeg, MB",,,10,0,1,0,0
104,0,0,"Fortune, Mr Mark",64,Southampton,"Winnipeg, MB",,,,1,1,0,0
105,0,1,"Fortune, Mrs Mark (Mary McDougald)",60,Southampton,"Winnipeg, MB",,,10,0,1,0,0
106,0,0,"Franklin, Mr Thomas Parham",31.19418104,Southampton,"Westcliff-on-Sea, Essex",,,,1,1,0,0
107,0,1,"Frauenthal, Dr Henry William",49,Cherbourg,"New York, NY",,,5,1,1,0,0
108,0,1,"Frauenthal, Mrs Henry William (Clara Heinsheimer)",31.19418104,Cherbourg,"New York, NY",,,5,0,1,0,0
109,0,1,"Frauenthal, Mr Isaac Gerald",44,Southampton,"New York, NY",,,5,1,1,0,0
110,0,1,"Frolicher, Miss Marguerite",22,Cherbourg,"Zurich, Switzerland",,,5,0,1,0,0
111,0,1,"Frolicher-Stehli, Mr Maxmillian",60,Cherbourg,"Zurich, Switzerland",,,5,1,1,0,0
112,0,1,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",48,Cherbourg,"Zurich, Switzerland",,,5,0,1,0,0
113,0,0,"Futrelle, Mr Jacques",37,Southampton,"Scituate, MA",,,,1,1,0,0
114,0,1,"Futrelle, Mrs Jacques (May Peel)",35,Southampton,"Scituate, MA",,,9,0,1,0,0
115,0,0,"Gee, Mr Arthur H.",47,Southampton,"St Anne's-on-Sea, Lancashire",,,-275,1,1,0,0
116,0,1,"Gibson, Miss Dorothy",22,Cherbourg,"New York, NY",,,7,0,1,0,0
117,0,1,"Gibson, Mrs Leonard (Pauline C. Boeson)",45,Cherbourg,"New York, NY",,,7,0,1,0,0
118,0,1,"Goldenberg, Mr Samuel L.",49,Cherbourg,"Paris, France / New York, NY",,,5,1,1,0,0
119,0,1,"Goldenberg, Mrs Samuel L. (Edwiga Grabowsko)",31.19418104,Cherbourg,"Paris, France / New York, NY",,,5,0,1,0,0
120,0,0,"Goldschmidt, Mr George B.",71,Cherbourg,"New York, NY",,,,1,1,0,0
121,0,1,"Gracie, Colonel Archibald IV",54,Southampton,"Washington, DC",C-51,113780 L28 10s,B,1,1,0,0
122,0,0,"Graham, Mr George Edward",38,Southampton,"Winnipeg, MB",,,-147,1,1,0,0
123,0,1,"Graham, Miss Margaret Edith",19,Southampton,"Greenwich, CT",C-125,17582 L153 9s 3d,3,0,1,0,0
124,0,1,"Graham, Mrs William Thompson (Edith Junkins)",58,Southampton,"Greenwich, CT",C-91,17582 L153 9s 3d,3,0,1,0,0
125,0,1,"Greenfield, Mrs Leo David (Blanche Strouse)",45,Cherbourg,"New York, NY",,,7,0,1,0,0
126,0,1,"Greenfield, Mr William Bertram",23,Cherbourg,"New York, NY",,,7,1,1,0,0
127,0,0,"Guggenheim, Mr Benjamin",46,Cherbourg,"New York, NY",B-82/4,17593 L56 18s 7d,,1,1,0,0
128,0,1,"Harder, Mr George Achilles",25,Cherbourg,"Brooklyn, NY",,,5,1,1,0,0
129,0,1,"Harder, Mrs George Achilles (Dorothy Annan)",21,Cherbourg,"Brooklyn, NY",,,5,0,1,0,0
130,0,1,"Harper, Mr Henry Sleeper",48,Cherbourg,"New York, NY",,,3,1,1,0,0
131,0,1,"Harper, Mrs Henry Sleeper (Myna Haxtun)",49,Cherbourg,"New York, NY",,,3,0,1,0,0
132,0,0,"Harris, Mr Henry Birkhardt",45,Southampton,"New York, NY",C-83,36973 L83 9s 6d,,1,1,0,0
133,0,1,"Harris, Mrs Henry Birkhardt (Irene Wallach)",36,Southampton,"New York, NY",C-83,36973 L83 9s 6d,D,0,1,0,0
134,0,1,"Hawksford, Mr Walter James",31.19418104,Southampton,"Kingston, Surrey",,,3,1,1,0,0
135,0,0,"Hays, Mr Charles Melville",55,Southampton,"Montreal, PQ",,,-307,1,1,0,0
136,0,1,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",52,Southampton,"Montreal, PQ",,,3,0,1,0,0
137,0,1,"Hays, Miss Margaret Bechstein",24,Southampton,"New York, NY",,,7,0,1,0,0
138,0,0,"Head, Mr Christopher",31.19418104,Southampton,London / Middlesex,,,,1,1,0,0
139,0,0,"Hilliard, Mr Herbert Henry",31.19418104,Southampton,"Brighton, MA",,,,1,1,0,0
140,0,0,"Hipkins, Mr William Edward",31.19418104,Southampton,London / Birmingham,,,,1,1,0,0
141,0,1,"Hippach, Miss Jean Gertrude",16,Cherbourg,"Chicago, IL",B-18,111361 L57 19s 7d,4,0,1,0,0
142,0,1,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",44,Cherbourg,"Chicago, IL",B-18,111361 L57 19s 7d,4,0,1,0,0
143,0,1,"Hogeboom, Mrs John C. (Anna Andrews)",51,Southampton,"Hudson, NY",D-?,13502 L77,10,0,1,0,0
144,0,0,"Holverson, Mr Alexander Oskar",42,Southampton,"New York, NY",,,-38,1,1,0,0
145,0,1,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",35,Southampton,"New York, NY",,,,0,1,0,0
146,0,1,"Homer, Mr Harry",35,Cherbourg,"Indianapolis, IN",,,15,1,1,0,0
147,0,1,"Hoyt, Mr Frederick Maxfield",38,Southampton,"New York, NY /  Stamford CT",C-93,,D,1,1,0,0
148,0,1,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",35,Southampton,"New York, NY /  Stamford CT",C-93,,D,0,1,0,0
149,0,0,"Hoyt, Mr William F.",31.19418104,Cherbourg,"New York, NY",,,14,1,1,0,0
150,0,0,"Isham, Miss Anne Elizabeth",50,Cherbourg,"Paris, France New York, NY",C-49,,,0,1,0,0
151,0,1,"Ismay, Mr Joseph Bruce",49,Southampton,Liverpool,B-52/4/6,112058 Complimentary,C,1,1,0,0
152,0,0,"Jones, Mr Charles Cresson",46,Southampton,"Bennington, VT",,,-80,1,1,0,0
153,0,0,"Julian, Mr Henry Forbes",31.19418104,Southampton,London,,,,1,1,0,0
154,0,0,"Kent, Mr Edward Austin",58,Cherbourg,"Buffalo, NY",,,-258,1,1,0,0
155,0,0,"Kenyon, Mr Frederick R.",41,Southampton,"Southington / Noank, CT",,,,1,1,0,0
156,0,1,"Kenyon, Mrs Frederick R. (Marion)",31.19418104,Southampton,"Southington / Noank, CT",,,8,0,1,0,0
157,0,1,"Kimball, Mr Edwin Nelson Jr.",42,Southampton,"Boston, MA",,,5,1,1,0,0
158,0,1,"Kimball, Mrs Edwin Nelson Jr. (Gertrude Parsons)",40,Southampton,"Boston, MA",,,5,0,1,0,0
159,0,0,"Klaber, Mr Herman",31.19418104,Southampton,"Portland, OR",,,,1,1,0,0
160,0,1,"Leader, Dr Alice Farnham",31.19418104,Southampton,"New York, NY",,,8,0,1,0,0
161,0,0,"Lewy, Mr Ervin G.",31.19418104,Cherbourg,"Chicago, IL",,,,1,1,0,0
162,0,0,"Lindeberg-Lind, Mr Erik Gustaf",42,Southampton,"Stockholm, Sweden",,,,1,1,0,0
163,0,1,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",55,Cherbourg,"Stockholm, Sweden",,,6,0,1,0,0
164,0,1,"Lines, Mrs Ernest H. (Elizabeth Lindsey James)",50,Cherbourg,"Paris, France",,,9,0,1,0,0
165,0,1,"Lines, Miss Mary Conover",16,Cherbourg,"Paris, France",,,9,0,1,0,0
166,0,0,"Lingrey, Mr Edward",31.19418104,,,,,,1,1,0,0
167,0,0,"Long, Mr Milton Clyde",29,Southampton,"Springfield, MA",,,-126,1,1,0,0
168,0,1,"Longley, Miss Gretchen Fiske",21,Southampton,"Hudson, NY",D-?,13502 L77,10,0,1,0,0
169,0,0,"Loring, Mr Joseph Holland",30,Southampton,"London / New York, NY",,,,1,1,0,0
170,0,1,"Madill, Miss Georgette Alexandra",15,Southampton,"St Louis, MO",B-5,24160 L221,2,0,1,0,0
171,0,0,"Maguire, Mr John Edward",30,Southampton,"Brockton, MA",,,,1,1,0,0
172,0,1,"Marechal, Mr Pierre",31.19418104,Cherbourg,"Paris, France",,,7,1,1,0,0
173,0,0,"Marvin, Mr Daniel Warner",31.19418104,Southampton,"New York, NY",,,,1,1,0,0
174,0,1,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",31.19418104,Southampton,"New York, NY",,,,0,1,0,0
175,0,0,"McCaffry, Mr Thomas Francis",46,Cherbourg,"Vancouver, BC",,,-292,1,1,0,0
176,0,0,"McCarthy, Mr Timothy J.",54,Southampton,"Dorchester, MA",,,-175,1,1,0,0
177,0,1,"McGough, Mr James R.",36,Southampton,"Philadelphia, PA",,,7,1,1,0,0
178,0,0,"Meyer, Mr Edgar Joseph",28,Cherbourg,"New York, NY",,,,1,1,0,0
179,0,1,"Meyer, Mrs Edgar Joseph (Leila Saks)",31.19418104,Cherbourg,"New York, NY",,,6,0,1,0,0
180,0,0,"Millet, Mr Francis Davis",65,Southampton,"East Bridgewater, MA",,,-249,1,1,0,0
181,0,1,"Minahan, Miss Daisy E.",33,Queenstown,"Green Bay, WI",,,14,0,1,0,0
182,0,0,"Minahan, Dr William Edward",44,Queenstown,"Fond du Lac, WI",,,-230,1,1,0,0
183,0,1,"Minahan, Mrs William Edward (Lillian E. Thorpe)",37,Queenstown,"Fond du Lac, WI",,,14,0,1,0,0
184,0,1,"Mock, Mr Philip E.",31.19418104,Cherbourg,"New York, NY",,,11,1,1,0,0
185,0,0,"Molson, Mr Harry Markland",55,Southampton,"Montreal, PQ",,,,1,1,0,0
186,0,0,"Moore, Mr Clarence Bloomfield",47,Southampton,"Washington, DC",,,,1,1,0,0
187,0,0,"Natsch, Mr Charles H.",36,Cherbourg,"Brooklyn, NY",,,,1,1,0,0
188,0,0,"Newell, Mr Arthur Webster",58,Cherbourg,"Lexington, MA",,,-122,1,1,0,0
189,0,1,"Newell, Miss Madeleine",31,Cherbourg,"Lexington, MA",,,6,0,1,0,0
190,0,1,"Newell, Miss Marjorie",23,Cherbourg,"Lexington, MA",,,6,0,1,0,0
191,0,1,"Newsom, Miss Helen Monypeny",19,Southampton,"New York, NY",,,5,0,1,0,0
192,0,0,"Nicholson, Mr Arthur Ernest",64,Southampton,"Isle of Wight, England",,,-263,1,1,0,0
193,0,1,"Omont, Mr A. Fernand",31.19418104,Cherbourg,"Paris, France",,,7,1,1,0,0
194,0,0,"Ostby, Mr Engelhart Cornelius",64,Cherbourg,"Providence, RI",,,-234,1,1,0,0
195,0,1,"Ostby, Miss Helen Raghnild",22,Cherbourg,"Providence, RI",,,5,0,1,0,0
196,0,0,"Ovies y Rodriguez, Mr Servando",28,,"?Havana, Cuba",,,-189,1,1,0,0
197,0,0,"Parr, Mr William Henry Marsh",31.19418104,,Belfast,,,,1,1,0,0
198,0,0,"Partner, Mr Austin",31.19418104,Southampton,"Surbiton Hill, Surrey",,,-166,1,1,0,0
199,0,0,"Payne, Mr Vivian Ponsonby",22,Southampton,"Montreal, PQ",,,,1,1,0,0
200,0,0,"Pears, Mr Thomas",31.19418104,Southampton,"Isleworth, England",,,,1,1,0,0
201,0,1,"Pears, Mrs Thomas (Edith)",31.19418104,Southampton,"Isleworth, England",,,8,0,1,0,0
202,0,0,"Penasco, Mr Victor de Satode",18,Cherbourg,"Madrid, Spain",,,,1,1,0,0
203,0,1,"Penasco, Mrs Victor de Satode (Josefa de Soto)",17,Cherbourg,"Madrid, Spain",,,8,0,1,0,0
204,0,1,"Peuchen, Major Arthur Godfrey",52,Southampton,"Toronto, ON",C-104,,6,1,1,0,0
205,0,0,"Porter, Mr Walter Chamberlain",46,Southampton,"Worcester, MA",,,-207,1,1,0,0
206,0,1,"Potter, Mrs Thomas, Jr. (Lily Alexenia Wilson)",56,Cherbourg,"Mt Airy, Philadelphia, PA",,,7,0,1,0,0
207,0,0,"Reuchlin, Jonkheer John George",31.19418104,Southampton,"Rotterdam, Netherlands",,,,1,1,0,0
208,0,1,"Rheims, Mr George Lucien",31.19418104,Cherbourg,"Paris /  New York, NY",,17604 L39 12s,A,1,1,0,0
209,0,1,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",43,Southampton,"St Louis, MO",B-3,24160 L221,2,0,1,0,0
210,0,0,"Roebling, Mr Washington Augustus 2nd",31,Southampton,"Trenton, NJ",,,,1,1,0,0
211,0,1,"Romaine, Mr Charles Hallace",31.19418104,Southampton,"New York, NY",,,15,1,1,0,0
212,0,0,"Rood, Mr Hugh R.",31.19418104,Southampton,"Seattle, WA",,,,1,1,0,0
213,0,1,"Rosenbaum (Russell), Miss Edith Louise",33,Cherbourg,"Paris, France",A-11,17613 L27 14s 5d,11,0,1,0,0
214,0,0,"Ross, Mr John Hugo",31.19418104,Cherbourg,"Winnipeg, MB",,,,1,1,0,0
215,0,1,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",27,Southampton,"London  Vancouver, BC",,,8,0,1,0,0
216,0,0,"Rothschild, Mr Martin",55,Cherbourg,"New York, NY",,,,1,1,0,0
217,0,1,"Rothschild, Mrs Martin (Elizabeth L. Barrett)",54,Cherbourg,"New York, NY",,,6,0,1,0,0
218,0,0,"Rowe, Mr Alfred G.",31.19418104,Southampton,London,,,-109,1,1,0,0
219,0,0,"Ryerson, Mr Arthur Larned",61,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,,1,1,0,0
220,0,1,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",48,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,0,1,0,0
221,0,1,"Ryerson, Miss Emily Borie",18,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,0,1,0,0
222,0,1,"Ryerson, Master John Borie",13,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,1,1,0,0
223,0,1,"Ryerson, Miss Susan (Suzette) Parker",21,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,0,1,0,0
224,0,1,"Saalfeld, Mr Adolphe",31.19418104,Southampton,"Manchester, England",,,3,1,1,0,0
225,0,1,"Salomon, Mr Abraham L.",31.19418104,Southampton,"New York, NY",,,1,1,1,0,0
226,0,1,"Schabert, Mrs Paul (Emma Mock)",31.19418104,Cherbourg,"New York, NY",,,11,0,1,0,0
227,0,1,"Seward, Mr Frederic Kimber",34,Southampton,"New York, NY",,,7,1,1,0,0
228,0,1,"Shutes, Miss Elizabeth W.",40,Southampton,"New York, NY / Greenwich CT",C-125,17582 L153 9s 3d,3,0,1,0,0
229,0,1,"Silverthorne, Mr Spencer Victor",36,Southampton,"St Louis, MO",,,5,1,1,0,0
230,0,0,"Silvey, Mr William Baird",50,,"Duluth, MN",,,,1,1,0,0
231,0,1,"Silvey, Mrs William Baird (Alice Munger)",39,,"Duluth, MN",,,,0,1,0,0
232,0,1,"Simonius-Blumer, Col Alfons",56,,"Basel, Switzerland",,,3,1,1,0,0
233,0,1,"Sloper, Mr William Thompson",28,Southampton,"New Britain, CT",,,7,1,1,0,0
234,0,0,"Smart, Mr John Montgomery",56,Southampton,"New York, NY",,,,1,1,0,0
235,0,0,"Smith, Mr James Clinch",56,Cherbourg,"St James, Long Island, NY",,,,1,1,0,0
236,0,0,"Smith, Mr Lucien Philip",24,Southampton,"Huntington, WV",,,,1,1,0,0
237,0,1,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",18,Southampton,"Huntington, WV",,,6,0,1,0,0
